quote,author,tags,cleaned_quote,cleaned_author
“Be yourself; everyone else is already taken.”,Oscar Wilde,[],everyone else already taken,oscar wilde
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,[],im selfish impatient little insecure make mistake control time hard handle cant handle worst sure hell dont deserve best,marilyn monroe
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,[],two thing infinite universe human stupidity im sure universe,albert einstein
"“So many books, so little time.”",Frank Zappa,[],many book little time,frank zappa
“A room without books is like a body without a soul.”,Marcus Tullius Cicero,[],room without book like body without soul,marcus tullius cicero
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,[],say feel mind dont matter matter dont mind,bernard baruch
"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”",William W. Purkey,[],youve got ta dance like there nobody watchinglove like youll never hurtsing like there nobody listeningand live like heaven earth,william w purkey
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,[],know youre love cant fall asleep reality finally better dream,dr seuss
"“You only live once, but if you do it right, once is enough.”",Mae West,[],live right enough,mae west
“Be the change that you wish to see in the world.”,Mahatma Gandhi,[],change wish see world,mahatma gandhi
“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,[],three word sum everything ive learned life go,robert frost
"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,",[],want know man like take good look treat inferior equal,jk rowling
“Donâ€™t walk in front of meâ€¦ I may not followDonâ€™t walk behind meâ€¦ I may not leadWalk beside meâ€¦ just be my friend”,Albert Camus,[],dont walk front may followdont walk behind may leadwalk beside friend,albert camus
"“If you tell the truth, you don't have to remember anything.”",Mark Twain,[],tell truth dont remember anything,mark twain
"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”","C.S. Lewis,",[],friendship born moment one man say another thought one,c lewis
“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,[],friend someone know still love,elbert hubbard
“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,[],always forgive enemy nothing annoys much,oscar wilde
"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde,[],live rarest thing world people exist,oscar wilde
“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi,[],live die tomorrow learn live forever,mahatma gandhi
“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,"Martin Luther King Jr.,",[],darkness drive darkness light hate drive hate love,martin luther king jr
"“Without music, life would be a mistake.”","Friedrich Nietzsche,",[],without music life would mistake,friedrich nietzsche
“We accept the love we think we deserve.”,"Stephen Chbosky,",[],accept love think deserve,stephen chbosky
“I am so clever that sometimes I don't understand a single word of what I am saying.”,"Oscar Wilde,",[],clever sometimes dont understand single word saying,oscar wilde
“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,Ralph Waldo Emerson,[],world constantly trying make something else greatest accomplishment,ralph waldo emerson
"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”",Rob Siltanen,[],here crazy one misfit rebel troublemaker round peg square hole one see thing differently theyre fond rule respect status quo quote disagree glorify vilify thing cant ignore change thing push human race forward may see crazy one see genius people crazy enough think change world one,rob siltanen
"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,[],insanity thing expecting different result,narcotic anonymous
"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”",Marilyn Monroe,[],believe everything happens reason people change learn let go thing go wrong appreciate theyre right believe lie eventually learn trust one sometimes good thing fall apart better thing fall together,marilyn monroe
“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”,"H. Jackson Brown Jr.,",[],twenty year disappointed thing didnt one throw bowline sail away safe harbor catch trade wind sail explore dream discover,h jackson brown jr
“It is better to be hated for what you are than to be loved for what you are not.”,"Andre Gide,",[],better hated loved,andre gide
"“Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that youâ€™ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you canâ€™t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid itâ€™s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didnâ€™t exist at all. A phone call or two during the day helps to get you through a long dayâ€™s work and always brings a smile to your face. In their presence, thereâ€™s no need for continuous conversation, but you find youâ€™re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that thereâ€™s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure thatâ€™s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”",Bob Marley,[],life truly believe find someone completely turn world around tell thing youve never shared another soul absorb everything say actually want hear share hope future dream never come true goal never achieved many disappointment life thrown something wonderful happens cant wait tell knowing share excitement embarrassed cry hurting laugh make fool never hurt feeling make feel like good enough rather build show thing make special even beautiful never pressure jealousy competition quiet calmness around worry think love thing seem insignificant people note song walk become invaluable treasure kept safe heart cherish forever memory childhood come back clear vivid like young colour seem brighter brilliant laughter seems part daily life infrequent didnt exist phone call two day help get long day work always brings smile face presence there need continuous conversation find youre quite content nearby thing never interested become fascinating know important person special think person every occasion everything simple thing bring mind like pale blue sky gentle wind even storm cloud horizon open heart knowing there chance may broken one day opening heart experience love joy never dreamed possible find vulnerable way allow heart feel true pleasure thats real scare find strength knowing true friend possibly soul mate remain loyal end life seems completely different exciting worthwhile hope security knowing part life,bob marley
"“All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.”","J.R.R. Tolkien,",[],gold glitternot wander lostthe old strong witherdeep root reached frostfrom ash fire shall wokena light shadow shall springrenewed shall blade brokenthe crownless shall king,jrr tolkien
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","J.K. Rowling,",[],choice harry show truly far ability,jk rowling
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","Jane Austen,",[],person gentleman lady pleasure good novel must intolerably stupid,jane austen
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,[],imperfection beauty madness genius better absolutely ridiculous absolutely boring,marilyn monroe
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,[],two way live life one though nothing miracle though everything miracle,albert einstein
“It does not do to dwell on dreams and forget to live.”,"J.K. Rowling,",[],dwell dream forget live,jk rowling
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,[],good friend good book sleepy conscience ideal life,mark twain
